coco class name,number of videos out of approx. 200
hair_drier,13
toaster,15
giraffe,21
zebra,25
bear,34
sheep,44
sandwich,46
skis,49
pizza,49
cow,51
elephant,51
hot_dog,52
broccoli,55
carrot,58
orange,63
fire_hydrant,68
baseball_glove,68
keyboard,70
horse,72
parking_meter,78
microwave,79
cat,80
tennis_racket,80
snowboard,81
oven,83
baseball_bat,84
bus,87
banana,87
toilet,89
bicycle,94
apple,94
train,95
skateboard,98
couch,98
motorcycle,99
sink,99
spoon,103
wine_glass,107
refrigerator,108
truck,109
fork,109
donut,109
dog,113
mouse,113
teddy_bear,114
airplane,116
boat,118
stop_sign,118
toothbrush,119
bed,124
scissors,125
cake,127
frisbee,129
surfboard,130
bench,133
suitcase,135
sports_ball,136
kite,138
knife,138
bowl,140
backpack,146
car,148
laptop,148
remote,149
vase,149
potted_plant,152
clock,153
traffic_light,155
tie,160
umbrella,161
handbag,162
tv,162
bottle,163
bird,165
dining_table,166
book,174
cup,175
cell_phone,177
chair,187
person,196
